time;e1;e2;e3;e4;e5;e6;e7;e8
0.09601;2.840166;2.596714;2.538725;2.42012;2.885342;2.030795;2.029974;2.026031
0.09701;2.839345;2.598356;2.538068;2.419956;2.884849;2.030467;2.02981;2.025539
0.09801;2.839181;2.596385;2.53774;2.419299;2.884027;2.030138;2.029317;2.024881
0.09901;2.839674;2.595235;2.539218;2.419956;2.884849;2.030631;2.02981;2.025539
0.10001;2.839509;2.597206;2.539054;2.42012;2.884685;2.030138;2.029974;2.025374
0.10101;2.839181;2.599013;2.538725;2.42012;2.885013;2.030302;2.029974;2.025539
0.10201;2.839017;2.593921;2.537904;2.419628;2.88452;2.02981;2.029481;2.025374
0.10301;2.839345;2.596385;2.538561;2.42012;2.885013;2.030467;2.029974;2.025703
0.10401;2.840002;2.598685;2.539054;2.420778;2.885506;2.030795;2.030302;2.026196
0.10501;2.839345;2.599013;2.538068;2.419792;2.884849;2.029974;2.029645;2.025374
0.10601;2.839509;2.590471;2.538397;2.42012;2.885177;2.030138;2.02981;2.025867
0.10701;2.839017;2.592935;2.538561;2.419792;2.884685;2.029974;2.029317;2.025539
0.10801;2.839181;2.594907;2.53889;2.420449;2.885177;2.030138;2.029974;2.025867
0.10901;2.839674;2.595892;2.539054;2.42012;2.884685;2.029645;2.029153;2.025046
0.11001;2.839509;2.592607;2.53889;2.419956;2.884849;2.030138;2.029974;2.025539
0.11101;2.840166;2.595728;2.53889;2.420613;2.885506;2.030467;2.030138;2.026196
0.11201;2.839509;2.596878;2.538561;2.419792;2.884685;2.02981;2.029645;2.025703
0.11301;2.839345;2.597699;2.538232;2.419792;2.885013;2.02981;2.029645;2.025539
0.11401;2.839017;2.590636;2.538068;2.419792;2.884849;2.029645;2.029645;2.025539
0.11501;2.838852;2.593264;2.537904;2.42012;2.885013;2.029974;2.02981;2.025703
0.11601;2.838688;2.594578;2.537411;2.419463;2.884685;2.029317;2.029645;2.02521
0.11701;2.839017;2.595071;2.537904;2.419628;2.884849;2.029481;2.029481;2.025374
0.11801;2.840002;2.593264;2.538232;2.420285;2.885342;2.030138;2.029974;2.025867
0.11901;2.838852;2.594907;2.538397;2.419792;2.885013;2.02981;2.029645;2.025703
0.12001;2.839345;2.596878;2.538068;2.419956;2.885177;2.029974;2.029645;2.025374
0.12101;2.838688;2.601313;2.537904;2.42012;2.884685;2.029645;2.029317;2.025374
0.12201;2.839181;2.593428;2.537904;2.42012;2.885013;2.029974;2.030138;2.025867
0.12301;2.838688;2.595071;2.53774;2.42012;2.884685;2.02981;2.029645;2.025539
0.12401;2.838688;2.596385;2.537575;2.419792;2.884356;2.028988;2.028824;2.025046
0.12501;2.838852;2.589321;2.538068;2.42012;2.88452;2.029645;2.029645;2.025703
0.12601;2.838852;2.589814;2.537575;2.42012;2.884685;2.029481;2.029317;2.025539
0.12701;2.839509;2.591621;2.538397;2.420449;2.885013;2.029974;2.029153;2.025539
0.12801;2.839017;2.5931;2.538397;2.419792;2.88452;2.029317;2.029153;2.025374
0.12901;2.839345;2.590307;2.538232;2.420285;2.885013;2.02981;2.029481;2.025867
0.13001;2.839509;2.5931;2.538397;2.420285;2.885177;2.02981;2.029317;2.025867
0.13101;2.839181;2.594085;2.537575;2.419628;2.88452;2.028824;2.028824;2.02521
0.13201;2.839017;2.595728;2.537904;2.42012;2.884849;2.029317;2.028988;2.025539
0.13301;2.839509;2.588007;2.538068;2.419956;2.884849;2.029153;2.028824;2.025539
0.13401;2.839345;2.590636;2.538561;2.42012;2.885177;2.029481;2.029153;2.025539
0.13501;2.839017;2.59195;2.537904;2.419463;2.884685;2.029153;2.02866;2.025046
0.13601;2.838852;2.593428;2.538561;2.419956;2.884849;2.029317;2.028988;2.025374
0.13701;2.838852;2.590964;2.538232;2.420778;2.885506;2.029645;2.029645;2.026031
0.13801;2.837867;2.592443;2.537904;2.42012;2.88452;2.029153;2.02866;2.02521
0.13901;2.838852;2.594414;2.538561;2.42012;2.884685;2.029153;2.029153;2.02521
0.14001;2.838524;2.594907;2.53774;2.419792;2.884356;2.029317;2.028495;2.025374
0.14101;2.838524;2.588664;2.538232;2.420449;2.884685;2.029317;2.028824;2.025374
0.14201;2.838195;2.590636;2.537904;2.419628;2.88452;2.028824;2.02866;2.025046
0.14301;2.839017;2.592443;2.538232;2.42012;2.885013;2.028988;2.028988;2.025374
0.14401;2.839181;2.593264;2.538561;2.420778;2.885177;2.029317;2.029317;2.026196
0.14501;2.839017;2.589321;2.538068;2.419792;2.88452;2.028824;2.028824;2.025374
0.14601;2.838852;2.591621;2.538068;2.42012;2.885013;2.028824;2.02866;2.025867
0.14701;2.838688;2.593428;2.538397;2.42012;2.88452;2.028495;2.028495;2.025374
0.14801;2.838524;2.591293;2.538561;2.420285;2.885013;2.028824;2.028824;2.025539
0.14901;2.838688;2.591293;2.537411;2.419956;2.884356;2.028331;2.028003;2.02521
0.15001;2.838688;2.593592;2.538068;2.419792;2.884849;2.028331;2.028495;2.025046
0.15101;2.838688;2.595728;2.538725;2.420778;2.885342;2.029153;2.02866;2.026031
0.15201;2.838195;2.584886;2.53774;2.42012;2.884849;2.028495;2.028988;2.025374
0.15301;2.837867;2.587022;2.538397;2.42012;2.885013;2.028331;2.02866;2.025539
0.15401;2.838688;2.588993;2.537904;2.419956;2.884356;2.028331;2.028495;2.02521
0.15501;2.838852;2.590471;2.538068;2.42012;2.884849;2.028331;2.028824;2.025703
0.15601;2.838195;2.586529;2.538068;2.419956;2.884685;2.028167;2.028495;2.02521
0.15701;2.838688;2.588829;2.53774;2.419792;2.884027;2.028167;2.028167;2.024881
0.15801;2.839345;2.591293;2.538397;2.420449;2.885177;2.028824;2.028331;2.025374
0.15901;2.838524;2.591621;2.53774;2.42012;2.884685;2.028167;2.028495;2.025374
0.16001;2.838359;2.586364;2.538068;2.42012;2.884685;2.028824;2.028495;2.02521
0.16101;2.838852;2.588664;2.537411;2.419956;2.884685;2.028003;2.028495;2.024881
0.16201;2.839674;2.591128;2.538397;2.420613;2.884849;2.028495;2.028988;2.025374
0.16301;2.839181;2.591621;2.538232;2.419956;2.884685;2.028495;2.02866;2.025374
0.16401;2.838852;2.585707;2.53774;2.419792;2.884027;2.028003;2.027838;2.024881
0.16501;2.839674;2.5885;2.538068;2.420285;2.885013;2.028495;2.02866;2.025539
0.16601;2.839838;2.590143;2.538397;2.420285;2.884685;2.028495;2.028331;2.025046
0.16701;2.840166;2.590307;2.53774;2.420285;2.884849;2.028331;2.028824;2.025374
0.16801;2.840331;2.586529;2.537247;2.42012;2.88452;2.028331;2.028495;2.024881
0.16901;2.840331;2.588829;2.538232;2.420613;2.885013;2.02866;2.028988;2.025374
0.17001;2.840824;2.590471;2.538232;2.42012;2.884685;2.028824;2.028495;2.025374
0.17101;2.840331;2.588171;2.53774;2.419463;2.884192;2.028331;2.028003;2.024553
0.17201;2.840988;2.585379;2.538397;2.420449;2.884685;2.028824;2.028495;2.025374
0.17301;2.840495;2.587186;2.537575;2.419956;2.88452;2.02866;2.028331;2.025374
0.17401;2.841316;2.588829;2.538068;2.419792;2.88452;2.028824;2.02866;2.025374
0.17501;2.840988;2.583736;2.537247;2.419792;2.884356;2.028988;2.028331;2.025046
0.17601;2.841481;2.585543;2.538397;2.42012;2.885013;2.029481;2.02866;2.025374
0.17701;2.841481;2.587186;2.538397;2.42012;2.884685;2.029645;2.02866;2.025539
0.17801;2.841973;2.588664;2.537904;2.419792;2.884356;2.029153;2.028167;2.024717
0.17901;2.842302;2.581929;2.538725;2.42012;2.885013;2.02981;2.028331;2.025374
0.18001;2.842631;2.5839;2.53774;2.42012;2.884685;2.02981;2.028495;2.02521
0.18101;2.843123;2.5862;2.53774;2.419792;2.884685;2.02981;2.029153;2.02521
0.18201;2.842138;2.587186;2.537411;2.42012;2.884356;2.02981;2.028331;2.025046
0.18301;2.842631;2.584065;2.53774;2.420285;2.884685;2.030302;2.028988;2.025703
0.18401;2.843123;2.586693;2.538397;2.42012;2.885013;2.030302;2.02866;2.025374
0.18501;2.843288;2.587843;2.53774;2.419628;2.884192;2.029645;2.027838;2.024717
0.18601;2.84378;2.58965;2.537904;2.420449;2.884685;2.030302;2.02866;2.025374
0.18701;2.843616;2.583572;2.53774;2.42012;2.884685;2.030138;2.028495;2.025046
0.18801;2.843945;2.585707;2.53774;2.420285;2.884849;2.029974;2.028824;2.024881
0.18901;2.844273;2.587186;2.537575;2.419792;2.884192;2.029974;2.028003;2.024881
0.19001;2.844766;2.588171;2.538725;2.42012;2.885013;2.030302;2.02866;2.025703
0.19101;2.84493;2.581601;2.539218;2.420285;2.884685;2.030138;2.028988;2.025374
0.19201;2.844602;2.583408;2.537411;2.419628;2.884027;2.029317;2.028003;2.024881
